"Story","Title","Result","Date","Stability","Duration (s)"
"Testing API for Bad Text Filter","Check if the Bad Text Filter APLI is working correctly","SUCCESS","2021-02-05T18:01:19.630+01:00","0.0","4.02"
"Testing API for Bad Text Filter","Check the API POST request reponse for multiple request","SUCCESS","2021-02-05T18:01:25.648+01:00","0.0","0.27"
"Testing API for Bad Text Filter","Negative Test when API POST Request with invalid api-key","SUCCESS","2021-02-05T18:01:25.415+01:00","0.0","0.21"
"Testing API for Bad Text Filter","Negative Test when API POST request is made with no parameter for required key","SUCCESS","2021-02-05T18:01:24.808+01:00","0.0","0.56"
